                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     98,               0.029063,               0.021896,               0.010503,                      0,                0.87919,                 0.7285,                0.83486,                 0.4666,                0.87919,                 0.7285,                0.82285,                0.56058,               0.031798,                0.02117,               0.007591,                      0,               0.009709,               0.009709,               0.009709
                     99,               0.029411,               0.021073,              0.0094223,                      0,                0.89081,                   0.55,                0.60957,                0.31973,                0.89081,                   0.55,                0.59191,                0.31514,               0.043765,               0.034665,               0.010735,                      0,               0.009706,               0.009706,               0.009706
                    100,               0.028899,               0.018961,              0.0097068,                      0,                0.84035,                0.78998,                 0.7895,                0.48435,                0.84035,                0.78998,                0.77296,                0.53551,               0.030281,               0.019226,              0.0064501,                      0,               0.009703,               0.009703,               0.009703
                    101,               0.026441,               0.018882,              0.0089375,                      0,                0.93694,                   0.75,                0.75275,                0.54677,                      1,                0.79902,                0.80595,                0.58405,               0.030769,               0.018478,              0.0058125,                      0,                 0.0097,                 0.0097,                 0.0097
                    102,               0.028266,               0.021372,              0.0094889,                      0,                0.93605,                0.73254,                0.78729,                0.54057,                0.93605,                0.73254,                0.78227,                0.58055,               0.028988,               0.018546,              0.0065022,                      0,               0.009697,               0.009697,               0.009697
                    103,               0.030871,               0.024215,               0.010578,                      0,                0.87602,                   0.75,                0.79307,                0.53131,                0.87602,                   0.75,                0.78341,                0.55376,               0.028396,               0.019487,              0.0069988,                      0,               0.009694,               0.009694,               0.009694
                    104,               0.028584,               0.019923,              0.0087843,                      0,                0.87717,                    0.8,                0.83062,                 0.4429,                0.87717,                    0.8,                0.82325,                0.58451,               0.030736,               0.019977,              0.0066397,                      0,               0.009691,               0.009691,               0.009691
                    105,               0.030257,               0.022217,               0.010245,                      0,                0.85854,                    0.8,                0.81753,                 0.5605,                0.80341,                   0.75,                0.78316,                0.57238,               0.026953,                0.01876,              0.0065295,                      0,               0.009688,               0.009688,               0.009688
                    106,               0.027546,               0.018703,              0.0088003,                      0,                0.75025,                    0.8,                0.76001,                0.52925,                0.75025,                    0.8,                0.77235,                0.50443,               0.032926,               0.023689,               0.007141,                      0,               0.009685,               0.009685,               0.009685
                    107,               0.030005,               0.020667,              0.0097695,                      0,                0.86052,                   0.65,                0.71828,                0.45377,                0.86052,                   0.65,                0.71979,                0.46026,               0.033704,               0.025429,              0.0082005,                      0,               0.009682,               0.009682,               0.009682
                    108,                0.02696,                 0.0225,               0.010041,                      0,                0.92635,                    0.8,                 0.8077,                0.54082,                0.92635,                    0.8,                0.82238,                0.58022,               0.029887,               0.021541,              0.0059361,                      0,               0.009679,               0.009679,               0.009679
